Date,Total,Positive,Average,Volume,Price,Change
2015-06-06,13.0,12.0,0.9230769230769231,NaN,NaN,NaN
2015-06-07,14.0,13.0,0.9285714285714286,NaN,NaN,NaN
2015-06-08,140.0,135.0,0.9642857142857143,52674786.0,127.8,-0.8500000000000085
2015-06-09,115.0,100.0,0.8695652173913043,56075420.0,127.42,-0.37999999999999545
2015-06-10,66.0,50.0,0.7575757575757576,39087250.0,128.88,1.4599999999999937
2015-06-11,43.0,33.0,0.7674418604651163,35390887.0,128.59,-0.28999999999999204
2015-06-12,21.0,14.0,0.6666666666666666,36886246.0,127.17,-1.4200000000000017
2015-06-13,6.0,6.0,1.0,NaN,NaN,NaN
2015-06-14,4.0,3.0,0.75,NaN,NaN,NaN
2015-06-15,40.0,32.0,0.8,43988946.0,126.92,-0.25
2015-06-16,42.0,34.0,0.8095238095238095,31494131.0,127.6,0.6799999999999926
2015-06-17,33.0,29.0,0.8787878787878788,32918071.0,127.3,-0.29999999999999716
2015-06-18,39.0,34.0,0.8717948717948718,35407220.0,127.88,0.5799999999999983
2015-06-19,26.0,19.0,0.7307692307692307,54716887.0,126.6,-1.2800000000000011
2015-06-20,9.0,6.0,0.6666666666666666,NaN,NaN,NaN
2015-06-21,8.0,7.0,0.875,NaN,NaN,NaN
2015-06-22,51.0,40.0,0.7843137254901961,34039345.0,127.61,1.0100000000000051
2015-06-23,50.0,45.0,0.9,30268863.0,127.03,-0.5799999999999983
2015-06-24,56.0,53.0,0.9464285714285714,55280855.0,128.11,1.0800000000000125
2015-06-25,47.0,45.0,0.9574468085106383,31938100.0,127.5,-0.6100000000000136
2015-06-26,41.0,36.0,0.8780487804878049,44066841.0,126.75,-0.75
2015-06-27,7.0,7.0,1.0,NaN,NaN,NaN
2015-06-28,3.0,2.0,0.6666666666666666,NaN,NaN,NaN
2015-06-29,31.0,28.0,0.9032258064516129,49161427.0,124.53,-2.219999999999999
2015-06-30,68.0,52.0,0.7647058823529411,44370682.0,125.425,0.894999999999996
2015-07-01,74.0,61.0,0.8243243243243243,30238811.0,126.6,1.1749999999999972
2015-07-02,32.0,27.0,0.84375,27210952.0,126.44,-0.1599999999999966
2015-07-03,37.0,35.0,0.9459459459459459,NaN,NaN,NaN
2015-07-04,5.0,4.0,0.8,NaN,NaN,NaN
2015-07-05,5.0,4.0,0.8,NaN,NaN,NaN
2015-07-06,21.0,19.0,0.9047619047619048,28060431.0,126.0,-0.4399999999999977
2015-07-07,36.0,30.0,0.8333333333333334,46946811.0,125.69,-0.3100000000000023
2015-07-08,33.0,22.0,0.6666666666666666,60761614.0,122.57,-3.1200000000000045
2015-07-09,50.0,46.0,0.92,78595038.0,120.07,-2.5
2015-07-10,27.0,23.0,0.8518518518518519,61354474.0,123.28,3.210000000000008
2015-07-11,3.0,3.0,1.0,NaN,NaN,NaN
2015-07-12,2.0,2.0,1.0,NaN,NaN,NaN
2015-07-13,33.0,23.0,0.696969696969697,41440538.0,125.66,2.3799999999999955
2015-07-14,25.0,20.0,0.8,31768139.0,125.61,-0.04999999999999716
2015-07-15,27.0,23.0,0.8518518518518519,33649200.0,126.82,1.2099999999999937
2015-07-16,43.0,36.0,0.8372093023255814,36222447.0,128.51,1.6899999999999977
2015-07-17,20.0,16.0,0.8,46164710.0,129.62,1.1100000000000136
2015-07-18,6.0,5.0,0.8333333333333334,NaN,NaN,NaN
2015-07-19,2.0,2.0,1.0,NaN,NaN,NaN
2015-07-20,35.0,26.0,0.7428571428571429,58900203.0,132.07,2.4499999999999886
2015-07-21,89.0,66.0,0.7415730337078652,76756427.0,130.75,-1.3199999999999932
2015-07-22,161.0,113.0,0.7018633540372671,115450607.0,125.22,-5.530000000000001
2015-07-23,59.0,47.0,0.7966101694915254,50999452.0,125.16,-0.060000000000002274
2015-07-24,22.0,16.0,0.7272727272727273,42162332.0,124.5,-0.6599999999999966
2015-07-25,5.0,4.0,0.8,NaN,NaN,NaN
2015-07-26,5.0,3.0,0.6,NaN,NaN,NaN
2015-07-27,45.0,35.0,0.7777777777777778,44455540.0,122.77,-1.730000000000004
2015-07-28,26.0,20.0,0.7692307692307693,33618097.0,123.38,0.6099999999999994
2015-07-29,33.0,28.0,0.8484848484848485,37011653.0,122.99,-0.39000000000000057
2015-07-30,37.0,32.0,0.8648648648648649,33628268.0,122.37,-0.6199999999999903
2015-07-31,13.0,12.0,0.9230769230769231,42884953.0,121.3,-1.0700000000000074
2015-08-01,6.0,5.0,0.8333333333333334,NaN,NaN,NaN
2015-08-02,5.0,4.0,0.8,NaN,NaN,NaN
2015-08-03,17.0,15.0,0.8823529411764706,69975968.0,118.44,-2.8599999999999994
2015-08-04,38.0,26.0,0.6842105263157895,124138623.0,114.64,-3.799999999999997
2015-08-05,69.0,45.0,0.6521739130434783,98384461.0,115.4,0.7600000000000051
2015-08-06,66.0,50.0,0.7575757575757576,52903040.0,115.13,-0.27000000000001023
2015-08-07,42.0,35.0,0.8333333333333334,38670405.0,115.52,0.39000000000000057
2015-08-08,7.0,4.0,0.5714285714285714,NaN,NaN,NaN
2015-08-09,6.0,3.0,0.5,NaN,NaN,NaN
2015-08-10,40.0,34.0,0.85,54951597.0,119.72,4.200000000000003
2015-08-11,48.0,32.0,0.6666666666666666,97082814.0,113.49,-6.230000000000004
2015-08-12,45.0,38.0,0.8444444444444444,101685610.0,115.24,1.75
2015-08-13,75.0,57.0,0.76,48535789.0,115.15,-0.0899999999999892
2015-08-14,42.0,35.0,0.8333333333333334,42929516.0,115.96,0.8099999999999881
2015-08-15,5.0,4.0,0.8,NaN,NaN,NaN
2015-08-16,4.0,2.0,0.5,NaN,NaN,NaN
2015-08-17,25.0,20.0,0.8,40884745.0,117.16,1.2000000000000028
2015-08-18,38.0,28.0,0.7368421052631579,34560708.0,116.5,-0.6599999999999966
